brand,color,engine,gear,fuel,route,year,mileage,price
Honda,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,5,28497,7015000
Honda,Black,4-cylinder(I4),automatic,petrol,Foreign Used,12,97488,4015000
Toyota,Black,8-cylinder(V8),automatic,petrol,Foreign Used,13,192404,3115000
Hyundai,Gold,4-cylinder(I4),automatic,petrol,Locally used,10,67393,2515000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,14,77858,3315000
Honda,Gold,4-cylinder(I4),automatic,petrol,Locally used,14,184923,1565000
others,Gold,4-cylinder(I4),automatic,petrol,Foreign Used,24,111271,3815000
BMW,White,4-cylinder(I4),automatic,petrol,Locally used,14,59125,7015000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,12,72441,3535000
Toyota,Gold,6-cylinder(V6),automatic,petrol,Foreign Used,11,53192,6015000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,6,29907,4415000
Mercedes Benz,Black,4-cylinder(I4),automatic,petrol,Foreign Used,6,56125,14865000
others,Wine,4-cylinder(I4),automatic,petrol,Locally used,17,149158,1315000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,17,235765,2215000
Mercedes Benz,Silver,8-cylinder(V8),automatic,petrol,Foreign Used,6,69124,18015000
Lexus,White,6-cylinder(V6),automatic,petrol,Locally used,22,204177,1515000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,4,34556,13515000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,13,13256,3585000
Honda,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,7,149232,4965000
Toyota,Green,6-cylinder(V6),automatic,petrol,Locally used,21,143899,1715000
Toyota,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,12,187342,5565000
others,Green,4-cylinder(I4),manual,diesel,Locally used,16,0,5535000
Nissan,White,8-cylinder(V8),automatic,petrol,Foreign Used,13,111031,4215000
Lexus,Wine,6-cylinder(I6),automatic,petrol,Locally used,16,145184,2655000
Mercedes Benz,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,16,200174,3665000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,8,74980,4965000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,12,94133,3535000
Toyota,Gold,6-cylinder(I6),automatic,petrol,Locally used,9,60254,4365000
Toyota,Gold,4-cylinder(I4),automatic,petrol,Foreign Used,5,36962,9215000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,14,105667,2515000
Toyota,Silver,8-cylinder(V8),automatic,petrol,Foreign Used,20,195136,2215000
Mercedes Benz,White,6-cylinder(I6),automatic,petrol,Foreign Used,8,57685,13215000
Ford,Black,4-cylinder(I4),automatic,petrol,Foreign Used,4,6370,15765000
Toyota,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,8,113085,5790000
Toyota,Gold,4-cylinder(I4),automatic,petrol,Foreign Used,18,180027,2015000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Locally used,16,60618,2325000
Volvo,Silver,4-cylinder(I4),automatic,petrol,Locally used,15,174865,1800000
Hyundai,Silver,4-cylinder(I4),automatic,petrol,Locally used,7,44586,5215000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,19,198487,1815000
Lexus,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,7,208761,9930000
Lexus,Black,6-cylinder(V6),automatic,petrol,Locally used,15,122000,2765000
Toyota,Gold,6-cylinder(V6),automatic,petrol,Locally used,16,135246,1885000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,15,171173,3315000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,8,36744,4215000
Lexus,Gold,6-cylinder(V6),automatic,petrol,Locally used,23,170040,1115000
Toyota,Gold,4-cylinder(I4),automatic,petrol,Foreign Used,19,153606,2215000
Toyota,Green,4-cylinder(I4),automatic,petrol,Foreign Used,15,151948,2505000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,6,73923,15015000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,5,65098,7890000
Mercedes Benz,Black,6-cylinder(V6),automatic,petrol,Foreign Used,6,42345,14865000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,6,35253,6285000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,7,76472,8940000
Chevrolet,White,4-cylinder(I4),automatic,petrol,Foreign Used,7,23821,10515000
Toyota,Black,6-cylinder(V6),automatic,petrol,Foreign Used,14,48426,2915000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,18,85827,2325000
Mazda,White,6-cylinder(I6),automatic,petrol,Foreign Used,15,131166,3690000
Toyota,Black,6-cylinder(I6),automatic,petrol,Foreign Used,9,79268,10015000
Lexus,Black,6-cylinder(V6),automatic,petrol,Foreign Used,10,85632,5715000
Lexus,Black,6-cylinder(V6),automatic,petrol,Locally used,10,13572,7715000
Lexus,Black,6-cylinder(V6),automatic,petrol,Foreign Used,17,163962,3415000
others,White,8-cylinder(V8),automatic,petrol,Foreign Used,15,120123,4415000
Kia,White,4-cylinder(I4),automatic,petrol,Locally used,13,103080,1170000
Toyota,Black,6-cylinder(I6),automatic,petrol,Foreign Used,6,64327,14865000
Lexus,Black,6-cylinder(I6),automatic,petrol,Foreign Used,16,67968,3690000
others,Blue,6-cylinder(V6),automatic,petrol,Foreign Used,19,264064,2325000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,5,7051,7215000
Lexus,Black,6-cylinder(V6),automatic,petrol,Foreign Used,13,119058,4615000
Toyota,Black,6-cylinder(V6),automatic,petrol,Foreign Used,10,63440,8940000
Honda,Gold,4-cylinder(I4),automatic,petrol,Locally used,15,108031,1830000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,5,40247,8940000
Toyota,White,4-cylinder(I4),automatic,petrol,Locally used,14,151511,11015000
Nissan,Gold,4-cylinder(I4),automatic,petrol,Locally used,22,270050,510000
Mercedes Benz,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,14,100205,5295000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,10,70987,4015000
Kia,Black,4-cylinder(I4),automatic,petrol,Locally used,21,205341,1265000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Locally used,17,189000,1423000
others,Silver,4-cylinder(I4),automatic,petrol,Locally used,6,51645,9465000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Locally used,15,264893,1915000
others,Blue,6-cylinder(V6),manual,diesel,Locally used,23,195964,7015000
Toyota,Black,6-cylinder(V6),automatic,petrol,Locally used,14,208969,2600000
others,White,6-cylinder(V6),manual,diesel,Locally used,18,0,8515000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,9,177120,5735000
Nissan,Wine,6-cylinder(V6),automatic,petrol,Foreign Used,16,176931,2815000
Mercedes Benz,Black,6-cylinder(V6),automatic,petrol,Locally used,8,42009,11015000
Ford,White,6-cylinder(V6),automatic,petrol,Foreign Used,6,58159,14015000
Honda,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,12,225417,5015000
Toyota,Gold,6-cylinder(I6),automatic,petrol,Locally used,22,186573,965000
Toyota,White,6-cylinder(V6),automatic,petrol,Locally used,16,90128,1800000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,12,85233,5790000
Honda,Black,6-cylinder(V6),automatic,petrol,Foreign Used,14,161765,3975000
Lexus,Black,4-cylinder(I4),automatic,petrol,Foreign Used,11,40566,4915000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,4,152661,15515000
Nissan,White,4-cylinder(I4),manual,diesel,Locally used,16,0,3015000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,12,86820,3315000
Kia,Silver,4-cylinder(I4),automatic,petrol,Locally used,8,80574,2815000
Mercedes Benz,Black,4-cylinder(I4),automatic,petrol,Foreign Used,8,52801,9915000
others,Black,6-cylinder(I6),automatic,petrol,Locally used,6,69887,2215000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,4,10212,11015000
Toyota,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,15,203354,2215000
Honda,Black,4-cylinder(I4),automatic,petrol,Foreign Used,15,94035,1855000
Toyota,Silver,4-cylinder(I4),manual,petrol,Foreign Used,18,186151,1665000
Mercedes Benz,Black,6-cylinder(V6),automatic,petrol,Foreign Used,14,209076,4305000
Lexus,Black,4-cylinder(I4),automatic,petrol,Foreign Used,15,88443,3615000
Mercedes Benz,Black,4-cylinder(I4),automatic,petrol,Foreign Used,9,4500,7490000
Toyota,Black,4-cylinder(I4),automatic,petrol,Locally used,15,105285,1285000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,8,26650,5575000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,11,85759,4320000
Lexus,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,14,90928,3815000
Lexus,Black,6-cylinder(V6),automatic,petrol,Foreign Used,6,22051,14315000
Toyota,White,6-cylinder(V6),automatic,petrol,Foreign Used,9,76163,8485000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,5,87597,8815000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,5,47385,7015000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,8,63429,5790000
Mercedes Benz,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,17,153224,1665000
Lexus,White,6-cylinder(V6),automatic,petrol,Foreign Used,6,51865,15975000
Lexus,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,16,233102,3755000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,15,99268,1815000
Toyota,Gold,4-cylinder(I4),automatic,petrol,Foreign Used,14,97532,4855000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,19,102610,2160000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,14,84266,3165000
Toyota,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,7,77446,15515000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,17,225602,3375000
others,Wine,4-cylinder(I4),manual,diesel,Locally used,21,173376,5015000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,11,117497,5955000
Honda,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,3,18506,13665000
Lexus,Black,4-cylinder(I4),automatic,petrol,Locally used,23,155558,1015000
Toyota,Gold,4-cylinder(I4),automatic,petrol,Foreign Used,16,164217,2105000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,15,155510,2615000
Lexus,Silver,6-cylinder(V6),automatic,petrol,Locally used,13,76897,3315000
Mercedes Benz,Black,6-cylinder(V6),automatic,petrol,Foreign Used,10,141032,5790000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,5,164164,7680000
others,Blue,4-cylinder(I4),manual,diesel,Locally used,19,0,2890000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,7,52421,15515000
Hyundai,White,4-cylinder(I4),automatic,petrol,Locally used,6,35356,3115000
others,Blue,8-cylinder(V8),automatic,petrol,Foreign Used,17,115556,5515000
Toyota,Gold,4-cylinder(I4),automatic,petrol,Foreign Used,16,164216,2050000
Mercedes Benz,White,4-cylinder(I4),automatic,petrol,Foreign Used,10,35168,7515000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,11,110421,7495000
Toyota,Black,6-cylinder(I6),automatic,petrol,Foreign Used,17,17881,2665000
Honda,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,4,27079,15215000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,17,143258,2215000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,12,78308,2915000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,5,111719,9365000
Toyota,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,17,134183,2655000
Honda,Black,4-cylinder(I4),automatic,petrol,Locally used,14,102257,1015000
Toyota,Blue,6-cylinder(V6),automatic,petrol,Foreign Used,5,12042,17815000
Mercedes Benz,Black,6-cylinder(V6),automatic,petrol,Foreign Used,16,92364,3865000
Land Rover,Black,8-cylinder(V8),automatic,petrol,Foreign Used,14,143754,5055000
Toyota,Black,6-cylinder(V6),automatic,petrol,Foreign Used,5,55669,16815000
Toyota,Gold,6-cylinder(V6),automatic,petrol,Foreign Used,14,102908,4715000
Hyundai,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,12,89606,2315000
Toyota,Gold,4-cylinder(I4),automatic,petrol,Foreign Used,12,85485,3205000
Lexus,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,22,201579,1665000
Lexus,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,15,118276,3215000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,19,128628,2215000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,16,187230,2465000
Honda,Black,4-cylinder(I4),automatic,petrol,Foreign Used,5,65995,8265000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,8,89361,7015000
Honda,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,15,33562,2660000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Locally used,16,240005,1115000
Toyota,Black,4-cylinder(I4),automatic,petrol,Locally used,12,136384,7890000
Hyundai,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,11,163969,3315000
Lexus,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,15,116298,4015000
Mazda,Black,4-cylinder(I4),automatic,petrol,Foreign Used,14,96159,3315000
Mercedes Benz,White,4-cylinder(I4),automatic,petrol,Foreign Used,13,100030,3465000
others,Green,4-cylinder(I4),automatic,petrol,Foreign Used,13,156988,3015000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,11,142724,7515000
Toyota,White,4-cylinder(I4),manual,petrol,Locally used,14,78514,3765000
Mercedes Benz,White,6-cylinder(V6),automatic,petrol,Locally used,14,175106,2985000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,14,113463,3715000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,6,104132,5790000
Toyota,Black,4-cylinder(I4),automatic,petrol,Locally used,12,152878,2115000
Honda,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,7,78246,6175000
Mercedes Benz,Silver,8-cylinder(V8),automatic,petrol,Foreign Used,12,147490,7730000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,28,84789,3975000
Toyota,Gold,6-cylinder(I6),automatic,petrol,Foreign Used,16,105449,6000000
Hyundai,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,6,32950,9015000
Ford,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,11,105271,2665000
others,Black,4-cylinder(I4),automatic,petrol,Foreign Used,10,54418,5515000
Toyota,White,6-cylinder(I6),automatic,petrol,Foreign Used,12,112725,4195000
Lexus,Gold,6-cylinder(V6),automatic,petrol,Foreign Used,6,9843,16015000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,9,201448,6815000
Honda,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,15,105357,2615000
Ford,Black,6-cylinder(V6),automatic,petrol,Foreign Used,9,108597,8015000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,6,51658,5790500
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,19,103796,1765000
Hyundai,White,4-cylinder(I4),automatic,petrol,Foreign Used,8,159486,4740000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,5,28596,7365000
Mercedes Benz,White,6-cylinder(I6),automatic,petrol,Locally used,9,97485,6615000
Toyota,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,3,12004,17815000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,12,104834,2715000
Mercedes Benz,Black,4-cylinder(I4),automatic,petrol,Foreign Used,21,248501,2515000
Honda,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,14,120447,2955000
Lexus,Black,4-cylinder(I4),automatic,petrol,Foreign Used,18,96386,3315000
Toyota,White,6-cylinder(V6),automatic,petrol,Foreign Used,13,85240,3315000
Honda,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,17,110408,1830000
Lexus,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,12,64666,3315000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Locally used,20,153760,1215000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,12,85963,3315000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,16,182079,2665000
others,Silver,6-cylinder(V6),automatic,petrol,Locally used,19,220475,1615000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,4,16786,13780000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Locally used,12,226206,1445000
Toyota,Gold,4-cylinder(I4),automatic,petrol,Foreign Used,20,137140,2115000
Hyundai,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,11,72093,3315000
Mercedes Benz,Black,6-cylinder(I6),automatic,petrol,Foreign Used,8,79549,12665000
Lexus,Black,8-cylinder(V8),automatic,petrol,Foreign Used,9,112994,16515000
Lexus,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,23,215213,2315000
Hyundai,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,6,92832,3515000
Honda,Black,4-cylinder(I4),automatic,petrol,Locally used,21,139823,615000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,7,118928,6065000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,10,100801,5015000
Toyota,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,12,121611,6315000
Toyota,Black,6-cylinder(V6),automatic,petrol,Foreign Used,7,69150,12515000
Mercedes Benz,Black,4-cylinder(I4),automatic,petrol,Foreign Used,8,78993,12090000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,10,90638,3865000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,12,97587,3205000
others,White,4-cylinder(I4),manual,diesel,Locally used,31,181081,4515000
Ford,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,10,30159,6715000
Lexus,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,7,32021,16215000
Mercedes Benz,White,4-cylinder(I4),automatic,petrol,Foreign Used,9,100605,10515000
Kia,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,8,48254,3515000
Chevrolet,Black,6-cylinder(I6),automatic,petrol,Locally used,12,98717,3915000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,19,155802,2215000
others,White,6-cylinder(V6),manual,diesel,Locally used,17,287016,10015000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,14,55400,3865000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,15,146287,2415000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,7,81398,8100000
Mercedes Benz,Black,8-cylinder(V8),automatic,petrol,Foreign Used,10,179659,9915000
others,White,6-cylinder(V6),automatic,petrol,Locally used,12,66582,4745000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,11,45353,3215000
Honda,Wine,6-cylinder(V6),automatic,petrol,Locally used,15,53364,865000
Toyota,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,5,30951,16015000
Mercedes Benz,Silver,8-cylinder(V8),automatic,petrol,Foreign Used,6,165777,7515000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,6,36295,9815000
Lexus,Black,6-cylinder(V6),automatic,petrol,Foreign Used,13,136113,3815000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,11,211407,3015000
Toyota,Gold,6-cylinder(I6),automatic,petrol,Foreign Used,18,174488,3015009
Toyota,Silver,4-cylinder(I4),automatic,petrol,Locally used,17,154070,1775000
Mercedes Benz,White,8-cylinder(V8),automatic,petrol,Foreign Used,10,65000,11515000
others,Wine,6-cylinder(I6),manual,diesel,Locally used,23,0,5360000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,6,10319,6315000
Lexus,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,15,78528,2315000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,10,112763,4215000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,9,84073,3865000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,9,92919,3215000
Nissan,Black,4-cylinder(I4),automatic,petrol,Foreign Used,7,124275,3815000
Ford,Silver,8-cylinder(V8),automatic,petrol,Foreign Used,18,146676,3165000
Honda,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,12,297333,4015000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,10,103994,4015000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Locally used,21,252365,1280000
Toyota,White,6-cylinder(V6),automatic,petrol,Foreign Used,16,1522,2815000
Honda,Black,4-cylinder(I4),automatic,petrol,Foreign Used,4,23640,16515000
others,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,17,120676,1495000
Honda,Wine,4-cylinder(I4),automatic,petrol,Locally used,9,149,2535000
Toyota,White,6-cylinder(V6),automatic,petrol,Foreign Used,14,169971,5115000
Toyota,Silver,6-cylinder(I6),automatic,petrol,Locally used,16,106789,1015000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,13,76201,6315000
Toyota,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,16,137117,3095000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,8,134121,7575000
Mercedes Benz,Black,6-cylinder(I6),automatic,petrol,Locally used,21,174019,925000
Honda,White,6-cylinder(V6),automatic,petrol,Foreign Used,5,87064,15240000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,11,195775,7365000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,9,64646,6945000
Mazda,Black,4-cylinder(I4),automatic,petrol,Foreign Used,13,87856,3425000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,16,37501,2765000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,10,186051,3855000
Mercedes Benz,Black,6-cylinder(V6),automatic,petrol,Foreign Used,12,134999,4965000
Mercedes Benz,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,16,195268,3690000
Lexus,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,7,23330,8940000
Honda,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,15,111872,1775000
Kia,Black,4-cylinder(I4),automatic,petrol,Locally used,17,153413,455000
Ford,Wine,6-cylinder(I6),automatic,petrol,Foreign Used,7,149209,9930000
Kia,Blue,4-cylinder(I4),automatic,petrol,Locally used,10,55620,2015000
Toyota,Gold,4-cylinder(I4),automatic,petrol,Foreign Used,12,190480,3375000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Locally used,18,163312,1445000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,8,65040,6515000
Ford,Black,4-cylinder(I4),automatic,petrol,Foreign Used,11,151669,5790000
Toyota,White,4-cylinder(I4),automatic,petrol,Locally used,26,119294,1015000
Volvo,White,6-cylinder(I6),manual,diesel,Locally used,26,0,6915000
Toyota,Gold,4-cylinder(I4),manual,diesel,Locally used,8,0,16690000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,2,2700,15015000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,6,50586,7015000
Lexus,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,18,85441,4015000
Hyundai,Silver,4-cylinder(I4),automatic,petrol,Locally used,10,101791,1995000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,9,144000,3215000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,18,179982,2315000
Chevrolet,Black,6-cylinder(I6),automatic,petrol,Foreign Used,9,66336,7715000
others,Gold,4-cylinder(I4),automatic,petrol,Locally used,6,68308,1415000
Toyota,Black,4-cylinder(I4),automatic,petrol,Locally used,14,182282,1225000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,10,22494,3535000
others,White,4-cylinder(I4),manual,diesel,Locally used,21,111817,6015000
Toyota,Black,6-cylinder(I6),automatic,petrol,Locally used,16,219407,1665000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,11,110515,3645000
Ford,Black,6-cylinder(V6),automatic,petrol,Locally used,9,78551,8015000
Mercedes Benz,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,8,61886,9915000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,19,0,1715000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,15,94803,3315000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,10,121000,4635000
Honda,Silver,4-cylinder(I4),automatic,petrol,Locally used,9,16703,2985000
Mercedes Benz,Black,6-cylinder(V6),automatic,petrol,Locally used,12,99819,3645000
Ford,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,16,207762,3215000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,8,55028,13515000
Ford,White,6-cylinder(V6),automatic,petrol,Foreign Used,5,42164,15015000
others,Black,4-cylinder(I4),automatic,petrol,Locally used,6,84607,1515000
Mack,White,6-cylinder(V6),manual,diesel,Locally used,27,0,8015000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,15,197541,2215000
